date,ticker,delta_shares,price,cash_after
2025-07-09,IREN,-265,16.959999084472656,75909.90327835083
2025-07-09,SNDK,1641,46.20000076293945,95.7020263671875
2025-07-10,BMNR,-1136,45.996490478515625,52347.71520996094
2025-07-10,BE,890,25.850000381469727,29341.21487045288
2025-07-10,IREN,888,17.030000686645508,14218.57426071167
2025-07-10,SNDK,302,46.95000076293945,39.67403030395508
2025-07-11,BE,-910,25.399999618530273,23153.673683166504
2025-07-11,OKLO,1186,56.08000183105469,-43357.208488464355
2025-07-11,IREN,-1258,16.229999542236328,-22939.869064331055
2025-07-11,SNDK,-500,46.09000015258789,105.13101196289062
2025-07-14,BE,901,25.959999084472656,-23284.828163146973
2025-07-14,OKLO,278,62.40999984741211,-40634.80812072754
2025-07-14,IREN,1190,17.280000686645508,-61198.00893783569
2025-07-14,SNDK,-1443,42.47999954223633,100.63040161132812
2025-07-17,BE,-3521,24.309999465942383,85696.13852119446
2025-07-17,OKLO,616,67.16999816894531,44319.419649124146
2025-07-17,IREN,2452,18.049999237060547,60.82151985168457
2025-07-21,BE,3556,25.360000610351562,-90119.34065055847
2025-07-21,OKLO,-638,62.5099983215332,-50237.96172142029
2025-07-21,IREN,-2773,18.149999618530273,91.98722076416016
2025-07-23,BE,1773,26.889999389648438,-47583.98169708252
2025-07-23,OKLO,-1442,66.97000122070312,48986.76006317139
2025-07-23,IREN,2578,18.989999771118164,30.540653228759766
2025-07-24,BE,-2962,33.060001373291016,97954.26472091675
2025-07-24,OKLO,1049,74.58999633789062,19709.358562469482
2025-07-24,IREN,-3232,18.139999389648438,78337.83658981323
2025-07-24,SNDK,1861,42.060001373291016,64.17403411865234
2025-07-25,BE,700,34.34000015258789,-23973.82607269287
2025-07-25,OKLO,346,75.5,-50096.82607269287
2025-07-25,IREN,1630,17.719999313354492,-78980.4249534607
2025-07-25,SNDK,-1861,42.47999954223633,74.85419464111328
2025-07-28,BE,1398,34.779998779296875,-48547.58409881592
2025-07-28,OKLO,662,75.5,-98528.58409881592
2025-07-28,IREN,-5945,16.579999923706055,39.51544761657715
2025-07-30,BE,-1598,37.619998931884766,60156.27374076843
2025-07-30,OKLO,-631,75.62999725341797,107878.80200767517
2025-07-30,SNDK,2485,43.38999938964844,54.65352439880371
2025-08-04,BE,5946,36.099998474121094,-214595.93740272522
2025-08-04,OKLO,-1426,76.41000366210938,-105635.27218055725
2025-08-04,SNDK,-2485,42.5099983215332,2.073648452758789
2025-08-05,BE,-5876,37.61000061035156,220998.43723487854
2025-08-05,OKLO,1313,84.08999633789062,110588.27204322815
2025-08-05,SNDK,2635,41.93000030517578,102.72123908996582
2025-08-06,BE,1364,38.86000061035156,-52902.319593429565
2025-08-06,OKLO,698,83.0999984741211,-110906.11852836609
2025-08-06,SNDK,-2635,42.099998474121094,27.377450942993164
2025-08-07,BMNR,1925,41.267879486083984,-79413.29055976868
2025-08-07,BE,-2142,36.79999923706055,-587.6921939849854
2025-08-07,OKLO,-1010,79.31999969482422,79525.50749778748
2025-08-07,IREN,4278,18.56999969482422,83.04880332946777
2025-08-11,BMNR,-468,58.96268081665039,27677.58342552185
2025-08-11,BE,123,37.650001525878906,23046.633237838745
2025-08-11,OKLO,-1001,71.86000061035156,94978.49384880066
2025-08-11,IREN,503,17.969999313354492,85939.58419418335
2025-08-11,SNDK,1981,43.369998931884766,23.616310119628906
2025-08-13,BMNR,-262,61.61190414428711,16165.935195922852
2025-08-13,BE,-612,44.08000183105469,43142.89631652832
2025-08-13,OKLO,951,77.41999816894531,-30483.521942138672
2025-08-13,IREN,-627,17.729999542236328,-19366.812229156494
2025-08-13,SNDK,-415,47.0099983215332,142.33707427978516
2025-08-15,BMNR,379,57.793025970458984,-21761.21976852417
2025-08-15,BE,339,45.279998779296875,-37111.13935470581
2025-08-15,OKLO,-951,71.05999755859375,30466.918323516846
2025-08-15,IREN,466,19.690000534057617,21291.378074645996
2025-08-15,SNDK,476,44.540000915527344,90.33763885498047
2025-08-18,BMNR,665,54.85388946533203,-36387.49885559082
2025-08-18,BE,632,46.5,-65775.49885559082
2025-08-18,IREN,1311,20.704999923706055,-92919.75375556946
2025-08-18,SNDK,-2042,45.52000045776367,32.08717918395996
2025-08-19,BMNR,-550,49.765380859375,27403.04665184021
2025-08-19,BE,-690,43.099998474121094,57142.045598983765
2025-08-19,IREN,-1442,18.729999542236328,84150.70493888855
2025-08-19,SNDK,1886,44.58000183105469,72.82148551940918
2025-08-20,BMNR,-1689,52.044715881347656,87976.3466091156
2025-08-20,BE,5850,44.5099983215332,-172407.14357185364
2025-08-20,IREN,-4489,19.760000228881836,-83704.50254440308
2025-08-20,SNDK,-1886,44.400001525878906,33.900333404541016
2025-08-21,BE,-3901,44.83000183105469,174915.73747634888
2025-08-21,IREN,8926,19.59000015258789,55.396114349365234
2025-08-22,BE,-1287,48.540000915527344,62526.37729263306
2025-08-22,IREN,-3006,21.43000030517578,126944.95820999146
2025-08-22,SNDK,2736,46.369998931884766,76.64113235473633
2025-08-25,BMNR,1588,49.58543395996094,-78665.02799606323
2025-08-25,BE,-1017,49.349998474121094,-28476.07954788208
2025-08-25,OKLO,1106,71.19000244140625,-107212.22224807739
2025-08-25,IREN,-2513,23.1200008392334,-49111.66013908386
2025-08-25,SNDK,-1052,46.779998779296875,100.8985767364502
2025-08-26,BMNR,-1588,49.935333251953125,79398.20778083801
2025-08-26,BE,403,49.939998626708984,59272.38833427429
2025-08-26,OKLO,237,74.30999755859375,41660.91891288757
2025-08-26,IREN,935,22.989999771118164,20165.26912689209
2025-08-26,SNDK,424,47.349998474121094,88.8697738647461
2025-09-04,BE,723,54.90999984741211,-39611.06011581421
2025-09-04,OKLO,-1343,69.61000061035156,53875.17070388794
2025-09-04,IREN,1379,26.1299991607666,17841.901861190796
2025-09-04,SNDK,284,62.5,91.9018611907959
2025-09-10,BE,-576,62.959999084472656,36356.861333847046
2025-09-10,OKLO,1832,73.75,-98753.13866615295
2025-09-10,IREN,-1702,33.630001068115234,-41514.876848220825
2025-09-10,SNDK,-564,73.91999816894531,176.00211906433105
2025-09-11,BMNR,2416,47.775970458984375,-115250.74250984192
2025-09-11,BE,-431,67.29000091552734,-86248.75211524963
2025-09-11,OKLO,-389,79.97000122070312,-55140.42164039612
2025-09-11,IREN,-505,32.849998474121094,-38551.172410964966
2025-09-11,SNDK,-459,84.30000305175781,142.52898979187012
2025-09-24,BMNR,-2416,51.904754638671875,125544.41619682312
2025-09-24,BE,943,69.18000030517578,60307.67590904236
2025-09-24,OKLO,-41,131.1699981689453,65685.64583396912
2025-09-24,IREN,388,47.13999938964844,47395.32607078552
2025-09-24,SNDK,473,99.83000183105469,175.73520469665527
2025-09-25,BE,-2658,68.69000244140625,182753.76169395447
2025-09-25,OKLO,568,119.12999725341797,115087.92325401306
2025-09-25,IREN,1168,46.290000915527344,61021.202184677124
2025-09-25,SNDK,647,94.29000091552734,15.571592330932617
2025-09-26,OKLO,1068,110.52999877929688,-118030.46710395813
2025-09-26,IREN,2953,41.86000061035156,-241643.0489063263
2025-09-26,SNDK,-2489,97.12000274658203,88.63792991638184
2025-09-29,OKLO,-3038,116.51000213623047,354046.02441978455
2025-09-29,IREN,-158,45.93000030517578,361302.9644680023
2025-09-29,SNDK,3183,113.5,32.464468002319336
2025-09-30,BMNR,2797,51.91475296020508,-145173.09956169128
2025-09-30,BE,1717,84.56999969482422,-290379.78903770447
2025-09-30,OKLO,1301,111.62999725341797,-435610.41546440125
2025-09-30,IREN,-4770,46.93000030517578,-211754.31400871277
2025-09-30,SNDK,-1889,112.19999694824219,191.48022651672363
2025-10-01,BMNR,-2797,52.344627380371094,146599.40300941467
2025-10-01,BE,1072,90.19000244140625,49915.72039222717
2025-10-01,OKLO,-1301,115.93000030517578,200740.65078926086
2025-10-01,IREN,2248,47.08000183105469,94904.80667304993
2025-10-01,SNDK,783,121.12000274658203,67.84452247619629
2025-10-02,BE,-646,88.0,56915.844522476196
2025-10-02,OKLO,1464,128.8000030517578,-131647.35994529724
2025-10-02,IREN,-1332,47.02000045776367,-69016.71933555603
2025-10-02,SNDK,-558,124.13999938964844,253.40032386779785
2025-10-03,BMNR,2746,56.63336944580078,-155261.83217430115
2025-10-03,BE,-421,90.29000091552734,-117249.74178886414
2025-10-03,OKLO,-243,127.36000061035156,-86301.2616405487
2025-10-03,IREN,-929,50.459999084472656,-39423.92249107361
2025-10-03,SNDK,-308,128.41000366210938,126.3586368560791
2025-10-13,BMNR,-2746,56.83330535888672,156190.615152359
2025-10-13,BE,1052,109.91000366210938,40565.291299819946
2025-10-13,OKLO,562,171.00999450683594,-55542.32561302185
2025-10-13,IREN,1672,64.13999938964844,-162784.40459251404
2025-10-13,SNDK,-1211,134.61000061035156,228.3061466217041
