date,ticker,delta_shares,price,cash_after
2025-10-08,SNDK,139,131.8800048828125,98.53197622299194
2025-10-09,BMNR,1177,59.082645416259766,-69441.74167871475
2025-10-09,BE,-244,86.6500015258789,-48299.1413064003
2025-10-09,OKLO,503,138.1300048828125,-117778.53376245499
2025-10-09,IREN,-1525,63.849998474121094,-20407.28608942032
2025-10-09,SNDK,-159,129.67999267578125,211.83274602890015
2025-10-10,BMNR,-1177,52.454593658447266,61950.88948202133
2025-10-10,BE,-802,86.87000274658203,131620.63168478012
2025-10-10,OKLO,104,147.16000366210938,116315.99130392075
2025-10-10,IREN,1496,59.77000045776367,26900.070619106293
2025-10-10,SNDK,228,116.91000366210938,244.58978414535522
2025-10-13,BE,1377,109.91000366210938,-151101.48525857925
2025-10-13,OKLO,278,171.00999450683594,-198642.26373147964
2025-10-13,IREN,-1496,64.13999938964844,-102688.82464456558
2025-10-13,SNDK,-764,134.61000061035156,153.21582174301147
2025-10-14,BMNR,1471,52.90446090698242,-77669.24617242813
2025-10-14,BE,-695,114.05999755859375,1602.4521307945251
2025-10-14,OKLO,-439,174.13999938964844,78049.91186285019
2025-10-14,IREN,1118,69.55999755859375,281.8345923423767
2025-10-15,BMNR,-1471,53.784202575683594,79398.39658117294
2025-10-15,BE,-682,116.58000183105469,158905.95782995224
2025-10-15,OKLO,461,171.55999755859375,79816.79895544052
2025-10-15,IREN,-1118,67.9800033569336,155818.44270849228
2025-10-15,SNDK,1079,144.3000030517578,118.73941564559937
2025-10-16,BE,2631,115.08999633789062,-302683.04094934464
2025-10-16,OKLO,-907,162.13999938964844,-155622.0615029335
2025-10-16,SNDK,-1079,144.27000427246094,45.273107051849365
2025-10-17,BE,-2631,111.5,293401.77310705185
2025-10-17,SNDK,2093,140.16000366210938,46.88544225692749
2025-10-20,OKLO,649,159.0500030517578,-103176.5665383339
2025-10-20,IREN,1744,59.220001220703125,-206456.24866724014
2025-10-20,SNDK,-1396,148.0399932861328,207.58196020126343
2025-10-21,BMNR,5614,51.834774017333984,-290792.8393731117
2025-10-21,OKLO,-649,139.44000244140625,-200296.27778863907
2025-10-21,IREN,-1744,55.19499969482422,-104036.19832086563
2025-10-21,SNDK,-697,149.2899932861328,18.92699956893921
2025-10-22,BMNR,-5614,48.01589584350586,269580.16626501083
2025-10-22,SNDK,1834,146.9499969482422,73.87186193466187
2025-10-24,BE,1031,110.37999725341797,-113727.90530633926
2025-10-24,OKLO,836,136.0500030517578,-227465.7078576088
2025-10-24,IREN,1809,62.900001525878906,-341251.81061792374
2025-10-24,SNDK,-1834,186.16000366210938,165.63609838485718
2025-10-27,BMNR,1283,53.69422912597656,-68724.05987024307
2025-10-27,BE,-397,108.52999877929688,-25637.650354862213
2025-10-27,OKLO,-335,137.42999267578125,20401.397191524506
2025-10-27,IREN,-749,64.98999786376953,69078.90559148788
2025-10-27,SNDK,390,176.49000549316406,247.80344915390015
2025-10-28,BMNR,-1283,52.524574279785156,67636.83225011826
2025-10-28,BE,-634,113.27999877929688,139456.35147619247
2025-10-28,OKLO,-501,132.27999877929688,205728.6308646202
2025-10-28,IREN,-1060,62.41999816894531,271893.82892370224
2025-10-28,SNDK,1548,175.52999877929688,173.3908133506775
2025-10-29,BE,1481,133.7100067138672,-197851.12912988663
2025-10-29,SNDK,-969,204.36000061035156,173.71146154403687
2025-10-30,BMNR,2128,44.53691864013672,-94600.8514046669
2025-10-30,BE,-740,127.8499984741211,8.14746618270874
2025-10-30,OKLO,690,137.38999938964844,-94790.95211267471
2025-10-30,SNDK,-485,195.82000732421875,181.75143957138062
2025-10-31,BMNR,2004,46.63630294799805,-93277.3996682167
2025-10-31,BE,-741,132.16000366210938,4653.163045406342
2025-10-31,OKLO,-690,132.77000427246094,96264.46599340439
2025-10-31,SNDK,482,199.3300018310547,187.40511083602905
2025-11-03,BMNR,-4132,42.847415924072266,177232.92770910263
2025-11-03,BE,1324,142.3699951171875,-11264.94582605362
2025-11-03,IREN,2783,67.75,-199813.19582605362
2025-11-03,SNDK,-966,207.00999450683594,158.45886754989624
2025-11-04,BMNR,3011,39.44841384887695,-118620.71523141861
2025-11-04,BE,-404,129.0500030517578,-66484.51399850845
2025-11-04,IREN,-1000,66.62999725341797,145.48325490951538
2025-11-05,BMNR,1712,41.4078369140625,-70744.73354196548
2025-11-05,BE,-920,141.41000366210938,59352.46982717514
2025-11-05,IREN,-1783,76.41000366210938,195591.50635671616
2025-11-05,SNDK,903,216.5,92.006356716156
2025-11-06,BMNR,-4723,37.35902786254883,176538.69495153427
2025-11-06,BE,886,136.86000061035156,55280.73441076279
2025-11-06,OKLO,1136,106.75,-65987.26558923721
2025-11-06,IREN,1812,66.95999908447266,-187318.78393030167
2025-11-06,SNDK,-903,207.69000244140625,225.2882742881775
2025-11-07,BMNR,2992,40.21818923950195,-120107.53393030167
2025-11-07,BE,-886,135.2100067138672,-311.46798181533813
2025-11-07,OKLO,-1136,112.6500015258789,127658.9337515831
2025-11-07,IREN,117,62.380001068115234,120360.47362661362
2025-11-07,SNDK,502,239.47999572753906,141.51577138900757
2025-11-10,BMNR,-2992,41.13792037963867,123226.17354726791
2025-11-10,BE,894,139.22999572753906,-1245.442633152008
2025-11-10,OKLO,1117,111.5199966430664,-125813.27888345718
2025-11-10,IREN,141,60.16999816894531,-134297.24862527847
2025-11-10,SNDK,-502,267.95001220703125,213.6575026512146
2025-11-11,BMNR,4409,39.57837677001953,-174287.4056763649
2025-11-11,BE,-894,127.06999969482422,-60686.82594919205
2025-11-11,OKLO,-1117,104.22000122070312,55726.91541433334
2025-11-11,IREN,-2070,57.380001068115234,174503.51762533188
2025-11-11,SNDK,642,271.5799865722656,149.1662459373474
2025-11-12,BMNR,-1445,40.55808639526367,58755.60108709335
2025-11-12,BE,948,126.72000122070312,-61374.96007013321
2025-11-12,SNDK,-218,283.1000061035156,340.841260433197
2025-11-13,BMNR,-2964,36.559261322021484,108702.49181890488
2025-11-13,BE,50,103.55000305175781,103524.99166631699
